Food_Item,Category,Sugar_Content (g),Calories (kcal),Protein (g),Fiber (g),Carbohydrates (g),Glycemic_Index,Ripeness,Size,Average_Weight (g),Fruit
Brinjal,Vegetable,4.9,41.5,4.0,4.6,4.2,29,Overripe,Large,1111.8,False
Peach,Fruit,14.2,83.8,2.7,1.9,12.3,70,Ripe,Large,499.7,True
Cabbage,Vegetable,1.3,32.6,4.6,2.4,6.8,27,Ripe,Small,544.1,False
Green Chili,Vegetable,4.7,35.4,1.7,7.4,8.3,26,Unripe,Large,1108.4,False
Tomato,Vegetable,4.3,47.3,3.7,3.5,6.0,45,Unripe,Large,464.5,False
Jackfruit,Fruit,6.1,67.9,1.8,2.9,5.9,97,Overripe,Large,427.7,True
Carrot,Vegetable,1.0,31.1,4.1,7.0,10.0,27,Unripe,Small,416.1,False
Grapes,Fruit,6.4,31.4,1.2,1.9,8.4,98,Ripe,Small,130.8,True
Fenugreek,Vegetable,4.5,60.9,2.5,2.4,7.2,57,Ripe,Small,602.7,False
Sweet Lime,Fruit,12.1,97.6,3.0,1.3,21.3,94,Overripe,Large,476.5,True
Jackfruit,Fruit,1.1,68.3,1.0,0.7,23.1,41,Overripe,Large,474.9,True
Papaya,Fruit,17.9,39.8,0.5,3.6,11.0,57,Unripe,Large,334.7,True
Sapodilla,Fruit,16.9,45.6,2.1,1.0,5.1,51,Overripe,Large,483.2,True
Plum,Fruit,9.3,92.5,2.3,0.8,10.7,47,Overripe,Small,313.1,True
Apple,Fruit,8.4,57.6,2.3,3.0,15.1,98,Ripe,Medium,360.8,True
Apple,Fruit,5.1,71.0,3.0,3.2,20.0,90,Overripe,Small,440.2,True
Garlic,Vegetable,0.4,47.0,2.6,5.9,6.8,42,Unripe,Small,734.4,False
Carrot,Vegetable,0.0,27.7,4.9,5.0,12.1,26,Overripe,Large,1280.2,False
Custard Apple,Fruit,13.3,83.2,2.3,0.8,17.4,42,Unripe,Small,161.2,True
Pear,Fruit,7.5,52.0,2.6,4.1,22.3,90,Overripe,Small,441.2,True
Sweet Lime,Fruit,4.4,38.8,2.4,4.6,8.4,75,Ripe,Small,57.4,True
Mango,Fruit,11.0,90.4,2.1,1.1,14.1,97,Overripe,Large,389.5,True
Sweet Lime,Fruit,8.8,72.8,1.5,0.6,24.2,86,Ripe,Medium,291.1,True
Sweet Corn,Vegetable,1.7,29.5,3.4,5.9,13.3,50,Overripe,Medium,119.1,False
Kohlrabi,Vegetable,0.5,67.7,2.1,4.4,12.2,29,Overripe,Large,1442.0,False
Spinach,Vegetable,0.2,26.8,1.4,2.5,3.3,25,Unripe,Small,1364.7,False
Sweet Corn,Vegetable,4.2,67.4,4.0,6.8,6.4,21,Overripe,Small,1361.9,False
Beetroot,Vegetable,1.7,64.3,3.5,2.0,14.3,45,Overripe,Large,278.7,False
Pumpkin,Vegetable,3.2,42.6,1.3,7.1,4.9,31,Ripe,Small,960.6,False
Okra,Vegetable,4.3,21.4,1.4,1.1,13.7,52,Overripe,Medium,902.0,False
Mushrooms,Vegetable,1.9,30.1,4.4,7.2,13.0,51,Unripe,Medium,1444.7,False
Garlic,Vegetable,3.2,51.3,3.2,2.3,11.6,54,Ripe,Small,848.9,False
Sweet Lime,Fruit,7.4,83.5,1.4,4.2,23.3,70,Ripe,Medium,131.0,True
Mango,Fruit,2.4,90.2,2.9,2.7,17.3,47,Overripe,Small,76.0,True
Gooseberry,Fruit,7.9,97.5,1.0,0.7,6.9,96,Ripe,Medium,400.5,True
Cabbage,Vegetable,0.5,67.9,1.1,5.7,6.9,35,Overripe,Medium,650.9,False
Litchi,Fruit,15.5,30.7,2.9,3.8,16.5,53,Unripe,Large,418.6,True
Green Chili,Vegetable,0.2,39.6,2.0,3.7,4.9,56,Overripe,Medium,440.7,False
Grapes,Fruit,9.3,57.5,1.5,2.3,11.0,79,Overripe,Medium,104.9,True
Watermelon,Fruit,5.4,85.9,2.4,0.8,20.5,74,Overripe,Small,102.9,True
Orange,Fruit,17.1,72.4,0.6,3.8,16.3,97,Unripe,Large,156.2,True
Plum,Fruit,2.3,55.9,2.0,3.1,11.8,59,Ripe,Small,58.1,True
Grapes,Fruit,10.1,36.6,2.5,2.0,20.5,91,Ripe,Medium,434.1,True
Bottle Gourd,Vegetable,0.5,51.0,3.1,4.9,9.4,48,Overripe,Large,787.3,False
Dragon Fruit,Fruit,4.0,78.2,2.5,4.9,8.2,93,Overripe,Large,252.8,True
Litchi,Fruit,18.4,90.6,2.1,4.5,7.2,73,Ripe,Small,337.1,True
Drumstick,Vegetable,1.9,61.2,4.6,6.6,14.0,60,Overripe,Large,854.9,False
Jackfruit,Fruit,7.4,45.5,0.6,3.4,22.1,51,Overripe,Medium,211.3,True
Colocasia,Vegetable,4.4,49.7,3.5,4.1,12.8,32,Unripe,Small,1191.4,False
Garlic,Vegetable,2.3,31.9,2.0,7.7,9.2,55,Ripe,Medium,1469.4,False
Onion,Vegetable,0.8,55.4,3.6,5.1,8.4,49,Overripe,Small,206.5,False
Potato,Vegetable,0.9,55.6,1.8,6.5,8.2,26,Ripe,Medium,644.0,False
Brinjal,Vegetable,2.6,35.7,2.5,4.8,12.4,38,Overripe,Medium,177.5,False
Orange,Fruit,6.7,97.4,2.4,4.7,19.5,93,Overripe,Medium,217.0,True
Dragon Fruit,Fruit,19.5,86.4,1.1,4.8,22.3,88,Unripe,Small,390.4,True
Grapes,Fruit,19.4,91.8,1.9,1.8,22.1,66,Overripe,Medium,210.9,True
French Beans,Vegetable,0.8,61.3,3.7,2.1,4.1,40,Ripe,Large,814.1,False
Cauliflower,Vegetable,2.7,54.9,2.3,6.8,3.9,51,Unripe,Large,287.8,False
Mango,Fruit,2.8,74.0,2.4,2.6,15.2,94,Unripe,Medium,202.1,True
Coriander Leaves,Vegetable,1.6,46.2,2.8,2.3,5.3,55,Ripe,Large,1179.6,False
Peas,Vegetable,3.6,24.1,4.0,4.8,6.4,23,Overripe,Medium,841.3,False
Brinjal,Vegetable,4.9,51.8,2.1,7.9,5.0,36,Unripe,Large,250.0,False
Radish,Vegetable,4.1,56.3,2.4,5.5,3.4,44,Ripe,Large,1314.4,False
Garlic,Vegetable,0.6,41.2,1.7,5.3,6.6,52,Overripe,Large,247.3,False
Papaya,Fruit,9.1,47.7,1.1,0.7,13.3,85,Overripe,Small,187.3,True
Bottle Gourd,Vegetable,0.2,22.9,4.8,6.9,4.6,46,Overripe,Small,285.1,False
Bitter Gourd,Vegetable,0.4,38.4,3.3,7.9,5.7,35,Overripe,Small,328.7,False
Orange,Fruit,8.2,59.7,2.1,4.1,12.9,43,Unripe,Large,391.3,True
Spinach,Vegetable,4.5,20.8,4.0,6.8,3.5,58,Unripe,Medium,1162.7,False
Kohlrabi,Vegetable,4.7,20.1,3.5,1.7,4.2,43,Overripe,Large,1251.0,False
Cabbage,Vegetable,1.0,28.3,1.2,5.5,10.8,38,Overripe,Medium,1375.2,False
Cauliflower,Vegetable,1.1,58.4,3.3,2.2,12.1,27,Ripe,Medium,1214.3,False
Pineapple,Fruit,11.7,83.6,0.8,4.6,23.8,74,Unripe,Small,168.7,True
Green Chili,Vegetable,2.8,49.9,1.5,3.0,9.9,58,Overripe,Medium,490.9,False
Dragon Fruit,Fruit,12.8,64.4,1.6,1.1,9.9,80,Unripe,Medium,191.5,True
Pumpkin,Vegetable,3.4,27.8,4.6,2.2,4.0,40,Unripe,Medium,730.4,False
Potato,Vegetable,0.2,50.4,4.0,1.7,11.0,29,Overripe,Small,712.8,False
Sweet Lime,Fruit,4.7,93.3,1.5,1.0,20.1,55,Unripe,Small,205.1,True
Carrot,Vegetable,4.5,24.7,2.1,1.3,13.3,47,Ripe,Medium,976.3,False
Fenugreek,Vegetable,4.4,64.6,4.1,6.1,5.7,50,Unripe,Large,1417.4,False
Strawberry,Fruit,4.4,91.8,1.6,3.7,16.3,100,Unripe,Small,264.5,True
Dragon Fruit,Fruit,0.8,87.6,1.5,2.0,20.5,53,Overripe,Small,242.8,True
Cauliflower,Vegetable,1.1,53.5,3.5,3.6,14.3,35,Overripe,Medium,724.0,False
Peach,Fruit,8.9,91.7,0.6,2.4,10.9,61,Unripe,Small,198.2,True
Sweet Lime,Fruit,10.4,48.2,0.8,2.8,12.7,54,Ripe,Small,261.2,True
Grapes,Fruit,7.9,46.2,0.5,4.3,16.7,58,Unripe,Large,89.2,True
Radish,Vegetable,0.8,58.0,1.1,7.1,13.2,43,Ripe,Medium,840.4,False
Coriander Leaves,Vegetable,3.2,24.5,2.5,5.3,3.6,39,Ripe,Large,1059.8,False
Pineapple,Fruit,4.8,63.2,1.0,2.0,23.3,76,Ripe,Small,78.9,True
Jackfruit,Fruit,4.5,69.2,3.0,3.4,5.7,61,Overripe,Large,170.2,True
Potato,Vegetable,0.4,35.2,1.1,2.7,11.1,29,Unripe,Medium,639.3,False
Peas,Vegetable,1.7,66.2,3.4,6.9,14.3,59,Unripe,Medium,1115.5,False
Cauliflower,Vegetable,2.5,43.7,2.4,7.0,10.1,45,Ripe,Medium,1211.9,False
Grapes,Fruit,7.6,74.8,2.9,1.7,19.2,94,Unripe,Small,104.8,True
Potato,Vegetable,0.7,28.9,3.1,2.9,12.8,54,Overripe,Small,1396.8,False
Plum,Fruit,2.0,85.7,2.8,2.5,19.0,78,Unripe,Small,325.4,True
Peach,Fruit,18.2,63.2,2.1,4.0,17.1,89,Overripe,Small,249.5,True
Garlic,Vegetable,0.2,47.7,4.2,5.4,14.5,33,Ripe,Small,894.6,False
Sweet Lime,Fruit,5.4,37.7,1.6,4.7,24.2,80,Ripe,Medium,453.9,True
Banana,Fruit,8.9,31.1,2.4,2.2,10.3,86,Unripe,Small,257.9,True
Apple,Fruit,9.1,40.1,1.3,1.4,12.0,79,Ripe,Small,131.8,True
Turnip,Vegetable,3.1,41.7,3.1,4.1,5.0,58,Ripe,Medium,1444.4,False
Cauliflower,Vegetable,2.6,32.3,2.4,4.7,3.4,51,Ripe,Small,500.9,False
Apple,Fruit,12.7,68.2,1.5,2.3,14.7,83,Overripe,Small,288.6,True
Okra,Vegetable,0.0,69.6,3.9,4.1,9.2,38,Ripe,Large,1207.5,False
Sweet Lime,Fruit,10.0,75.4,1.6,2.2,10.4,90,Ripe,Small,304.7,True
Papaya,Fruit,0.4,50.2,2.6,1.6,21.0,56,Ripe,Medium,241.4,True
Bitter Gourd,Vegetable,4.9,51.7,2.2,4.5,7.9,56,Ripe,Small,310.4,False
Beetroot,Vegetable,2.6,54.2,3.4,4.0,14.6,53,Ripe,Large,201.6,False
Tomato,Vegetable,3.6,29.8,3.2,7.9,12.0,20,Unripe,Small,1245.5,False
Peach,Fruit,0.8,89.1,1.1,3.7,21.4,98,Overripe,Small,424.8,True
Watermelon,Fruit,11.8,94.3,1.6,3.3,13.7,79,Unripe,Large,62.4,True
Cauliflower,Vegetable,3.1,49.5,1.1,4.2,8.2,27,Overripe,Large,1029.7,False
Sapodilla,Fruit,14.6,54.5,0.9,5.0,21.5,73,Ripe,Medium,107.9,True
Brinjal,Vegetable,1.8,45.8,3.4,5.8,4.3,24,Overripe,Medium,988.0,False
Chayote,Vegetable,3.6,44.7,4.0,2.4,13.1,21,Ripe,Small,537.4,False
Apple,Fruit,18.1,76.2,1.8,3.6,12.7,87,Unripe,Medium,340.2,True
Garlic,Vegetable,3.0,29.9,2.5,6.7,11.9,48,Ripe,Small,162.5,False
Peach,Fruit,5.0,53.2,0.8,0.5,23.0,98,Overripe,Medium,300.1,True
Cauliflower,Vegetable,1.3,64.7,1.7,7.4,9.1,33,Unripe,Medium,743.7,False
Chayote,Vegetable,4.1,36.9,3.8,8.0,3.5,34,Overripe,Medium,1460.4,False
Yam,Vegetable,0.2,59.5,1.4,7.5,15.0,24,Ripe,Small,111.3,False
Potato,Vegetable,1.0,21.4,2.8,6.6,6.1,54,Ripe,Large,127.3,False
Gooseberry,Fruit,19.3,56.8,0.8,3.1,20.6,67,Unripe,Large,260.2,True
Drumstick,Vegetable,3.9,23.6,3.5,6.4,10.9,30,Overripe,Medium,1114.0,False
Onion,Vegetable,3.3,69.7,2.9,4.6,8.3,39,Overripe,Medium,375.5,False
Litchi,Fruit,13.9,95.3,0.9,4.0,6.6,45,Unripe,Small,231.4,True
Lychee,Fruit,15.8,73.6,2.1,3.3,16.7,42,Overripe,Large,94.4,True
Kohlrabi,Vegetable,0.8,54.0,1.3,5.9,12.1,27,Overripe,Medium,756.1,False
Watermelon,Fruit,1.6,66.5,2.4,3.4,6.6,87,Overripe,Small,116.2,True
Pomegranate,Fruit,3.0,68.3,1.5,1.0,23.8,94,Ripe,Medium,89.6,True
Pumpkin,Vegetable,4.5,41.0,4.0,3.9,12.9,54,Unripe,Medium,1092.6,False
Mushrooms,Vegetable,4.9,58.6,4.5,6.6,8.6,56,Ripe,Large,533.2,False
Papaya,Fruit,19.5,50.7,1.8,1.5,21.0,51,Unripe,Large,244.7,True
Fig,Fruit,9.8,89.2,2.4,3.6,22.8,57,Ripe,Medium,260.4,True
French Beans,Vegetable,5.0,27.3,3.7,7.9,14.3,20,Overripe,Small,518.7,False
Pumpkin,Vegetable,2.0,43.3,2.1,5.8,11.0,32,Ripe,Large,600.2,False
Turnip,Vegetable,1.7,38.3,3.4,1.5,11.7,39,Ripe,Small,894.8,False
Coriander Leaves,Vegetable,0.2,50.3,4.7,2.2,10.6,45,Ripe,Medium,1314.0,False
Papaya,Fruit,7.7,44.4,2.0,4.9,12.7,83,Ripe,Large,103.8,True
Pear,Fruit,8.5,76.3,1.9,4.9,17.1,62,Ripe,Medium,129.2,True
Onion,Vegetable,3.6,62.4,1.6,5.9,11.3,55,Ripe,Large,325.0,False
Strawberry,Fruit,19.6,73.7,1.0,1.4,16.2,58,Ripe,Medium,417.6,True
Coriander Leaves,Vegetable,0.5,47.7,2.1,1.3,9.1,38,Unripe,Medium,734.0,False
Sweet Corn,Vegetable,2.4,30.1,4.4,2.1,5.4,43,Overripe,Medium,511.4,False
Garlic,Vegetable,0.6,53.1,1.4,1.3,12.4,41,Ripe,Medium,1254.1,False
Drumstick,Vegetable,0.2,35.0,2.1,3.5,12.7,21,Unripe,Medium,1312.2,False
Beetroot,Vegetable,3.0,62.9,4.2,7.1,10.0,47,Overripe,Small,1380.1,False
Custard Apple,Fruit,0.4,36.7,1.1,2.6,20.2,43,Unripe,Medium,218.6,True
Dragon Fruit,Fruit,4.5,78.6,2.5,4.7,14.5,59,Unripe,Large,373.9,True
Bottle Gourd,Vegetable,0.4,60.9,1.9,2.8,3.4,29,Overripe,Large,924.3,False
Papaya,Fruit,9.0,95.3,1.2,1.5,12.5,49,Unripe,Small,442.0,True
Turnip,Vegetable,3.6,41.0,3.1,1.4,14.5,23,Unripe,Large,384.4,False
Okra,Vegetable,2.8,25.0,3.5,1.4,11.3,20,Ripe,Small,294.1,False
Green Chili,Vegetable,4.4,35.8,2.9,7.3,6.7,53,Unripe,Medium,565.7,False
Jackfruit,Fruit,15.7,65.2,1.5,2.7,21.7,64,Ripe,Large,300.0,True
Orange,Fruit,11.0,96.4,2.9,3.7,9.7,55,Ripe,Small,481.1,True
Guava,Fruit,11.7,35.3,1.4,2.3,17.7,98,Overripe,Large,407.5,True
Papaya,Fruit,4.8,71.5,1.1,3.1,22.1,77,Unripe,Small,234.2,True
Banana,Fruit,16.6,39.3,0.5,2.2,24.5,95,Ripe,Large,315.9,True
Litchi,Fruit,0.8,99.7,2.1,4.2,11.9,74,Overripe,Large,76.6,True
Pomegranate,Fruit,11.9,50.8,2.6,1.3,16.4,82,Ripe,Small,256.2,True
French Beans,Vegetable,1.6,54.0,1.7,5.1,6.3,57,Overripe,Medium,877.0,False
Colocasia,Vegetable,3.2,64.9,3.0,2.7,4.1,59,Ripe,Large,380.5,False
Banana,Fruit,12.6,72.9,1.4,4.2,11.0,61,Unripe,Large,177.1,True
Avocado,Fruit,17.0,36.6,2.9,4.2,19.3,93,Ripe,Large,228.7,True
Tomato,Vegetable,1.3,45.5,2.1,4.2,9.8,36,Ripe,Small,1299.7,False
Avocado,Fruit,10.1,67.8,2.4,1.2,19.6,68,Overripe,Large,120.6,True
Radish,Vegetable,3.9,69.0,1.1,2.4,14.9,58,Unripe,Medium,127.1,False
Chayote,Vegetable,2.3,54.4,2.1,5.6,12.0,21,Unripe,Large,1275.7,False
Carrot,Vegetable,0.4,31.0,3.2,1.3,12.3,40,Unripe,Small,1247.8,False
Grapes,Fruit,5.9,56.9,2.5,1.2,15.4,59,Ripe,Medium,498.8,True
Bitter Gourd,Vegetable,0.2,28.2,3.6,7.5,6.0,41,Ripe,Large,974.7,False
Pumpkin,Vegetable,2.7,55.9,3.5,1.6,5.9,22,Ripe,Large,708.5,False
Tamarind,Fruit,17.4,75.4,2.0,3.5,14.8,87,Unripe,Large,220.6,True
Sweet Corn,Vegetable,4.5,38.3,4.9,2.4,6.4,42,Unripe,Medium,194.5,False
Gooseberry,Fruit,16.5,56.2,2.7,2.0,14.4,58,Unripe,Large,226.2,True
Banana,Fruit,7.7,32.5,0.5,0.9,8.1,53,Ripe,Large,397.9,True
Bottle Gourd,Vegetable,0.5,34.2,3.2,3.1,5.5,27,Unripe,Large,304.1,False
Potato,Vegetable,1.7,46.8,1.6,7.8,13.4,59,Overripe,Medium,497.1,False
Jackfruit,Fruit,14.5,91.3,2.9,3.0,16.1,99,Overripe,Small,163.6,True
Lychee,Fruit,13.2,88.6,2.6,4.5,22.7,43,Ripe,Large,91.8,True
Yam,Vegetable,4.8,58.5,1.7,3.8,11.8,56,Ripe,Large,1314.4,False
Pumpkin,Vegetable,3.5,47.7,2.9,5.0,11.1,51,Unripe,Medium,501.2,False
French Beans,Vegetable,2.5,62.5,1.9,2.2,10.2,42,Ripe,Medium,355.4,False
Turnip,Vegetable,2.4,21.5,2.2,5.2,12.8,31,Ripe,Small,982.6,False
Banana,Fruit,1.9,36.1,1.0,3.2,20.6,54,Unripe,Medium,467.8,True
Drumstick,Vegetable,0.3,41.4,3.4,1.8,14.5,30,Ripe,Small,942.2,False
Litchi,Fruit,0.6,94.3,0.6,3.8,16.2,42,Overripe,Small,368.3,True
Gooseberry,Fruit,15.0,44.8,1.1,4.5,15.2,85,Overripe,Small,124.1,True
Coriander Leaves,Vegetable,4.0,43.2,3.6,1.8,11.3,47,Unripe,Medium,1156.4,False
French Beans,Vegetable,2.2,52.8,2.9,2.5,14.3,56,Unripe,Small,955.9,False
Radish,Vegetable,4.8,27.8,3.4,1.5,12.5,34,Ripe,Medium,954.5,False
Yam,Vegetable,1.4,43.6,3.6,4.7,12.7,44,Overripe,Medium,528.2,False
Peach,Fruit,5.7,58.1,0.8,3.8,9.9,96,Overripe,Small,404.7,True
Potato,Vegetable,4.2,68.0,4.9,7.5,9.5,50,Unripe,Large,1193.0,False
Orange,Fruit,14.4,31.3,2.6,3.9,19.0,93,Overripe,Small,136.1,True
Potato,Vegetable,0.5,35.9,2.9,3.3,14.6,31,Unripe,Small,183.9,False
Okra,Vegetable,4.7,61.9,2.9,6.3,6.6,21,Ripe,Large,1385.7,False
Sapodilla,Fruit,13.2,79.2,1.3,4.9,14.0,67,Overripe,Small,489.0,True
Yam,Vegetable,2.6,62.7,2.0,3.1,8.3,47,Unripe,Large,303.1,False
Yam,Vegetable,1.9,53.3,3.6,7.1,9.5,57,Overripe,Small,134.0,False
Strawberry,Fruit,6.1,68.6,0.7,3.6,16.7,97,Unripe,Medium,446.6,True
Banana,Fruit,17.5,85.4,1.4,3.0,21.7,78,Ripe,Medium,321.1,True
Kohlrabi,Vegetable,3.2,62.1,4.3,4.2,7.9,47,Ripe,Medium,395.6,False
Pumpkin,Vegetable,3.8,22.7,2.5,7.0,5.5,56,Ripe,Medium,686.9,False
Avocado,Fruit,10.3,94.0,2.1,0.7,9.5,55,Overripe,Large,154.2,True
Peach,Fruit,2.9,62.3,2.7,1.9,21.1,58,Overripe,Small,189.1,True
Green Chili,Vegetable,2.7,63.4,4.6,1.3,4.5,53,Unripe,Medium,1206.6,False
Bottle Gourd,Vegetable,3.7,45.0,3.6,1.4,13.0,29,Unripe,Medium,973.5,False
Watermelon,Fruit,4.8,42.5,0.7,2.4,20.5,48,Unripe,Small,291.7,True
Pear,Fruit,3.5,80.8,2.0,1.1,8.6,96,Ripe,Small,194.5,True
Guava,Fruit,2.1,40.3,0.7,3.2,12.8,52,Overripe,Large,245.4,True
Beetroot,Vegetable,3.3,64.2,4.5,7.4,9.1,47,Unripe,Medium,176.2,False
Pineapple,Fruit,1.9,35.5,2.6,1.4,6.2,55,Unripe,Small,174.9,True
Kohlrabi,Vegetable,0.4,66.2,2.5,1.3,3.8,20,Overripe,Large,383.7,False
Custard Apple,Fruit,12.2,56.5,2.1,2.8,16.1,64,Unripe,Small,397.0,True
Tamarind,Fruit,1.7,88.0,2.0,4.6,8.3,74,Overripe,Small,268.5,True
Onion,Vegetable,3.3,47.2,4.6,5.4,6.4,24,Overripe,Small,1482.6,False
Peach,Fruit,9.7,36.0,0.9,4.2,5.9,50,Ripe,Large,356.2,True
Onion,Vegetable,1.9,58.4,1.2,6.3,12.0,60,Ripe,Small,115.3,False
Dragon Fruit,Fruit,1.0,77.8,1.8,0.7,13.3,98,Ripe,Medium,376.3,True
Pineapple,Fruit,16.9,77.8,0.7,4.4,9.5,82,Ripe,Large,260.5,True
Dragon Fruit,Fruit,14.3,54.4,2.3,2.5,21.9,65,Ripe,Medium,362.4,True
Cabbage,Vegetable,2.1,24.4,2.5,1.3,11.2,43,Ripe,Medium,1367.4,False
Gooseberry,Fruit,19.0,81.8,2.7,3.5,6.6,70,Overripe,Medium,71.0,True
Radish,Vegetable,0.1,62.4,3.6,6.4,13.4,28,Overripe,Medium,1416.3,False
Bitter Gourd,Vegetable,2.2,33.6,2.8,3.9,4.9,39,Ripe,Small,936.7,False
Lychee,Fruit,5.8,41.4,2.9,2.2,24.8,68,Unripe,Small,416.7,True
Mushrooms,Vegetable,2.7,62.1,3.6,3.1,8.3,28,Unripe,Large,977.0,False
Pomegranate,Fruit,15.2,55.2,3.0,2.9,20.8,79,Unripe,Small,457.9,True
Bitter Gourd,Vegetable,3.7,23.4,2.2,3.4,3.2,55,Unripe,Medium,1130.6,False
Papaya,Fruit,3.2,41.6,2.9,2.4,23.8,68,Unripe,Medium,421.6,True
Tamarind,Fruit,19.2,95.0,1.1,2.1,5.2,69,Overripe,Small,271.5,True
Watermelon,Fruit,1.4,46.3,1.3,4.9,23.5,51,Unripe,Small,93.0,True
Bottle Gourd,Vegetable,0.4,35.2,1.4,6.3,5.2,28,Overripe,Small,796.1,False
Okra,Vegetable,4.2,53.5,4.4,4.1,5.4,50,Overripe,Medium,1146.3,False
Sweet Lime,Fruit,12.0,93.8,2.7,1.9,10.2,63,Overripe,Small,438.1,True
Tomato,Vegetable,2.1,57.2,3.9,1.0,8.8,39,Ripe,Small,715.1,False
Grapes,Fruit,14.7,72.6,1.5,2.0,18.5,59,Unripe,Small,232.6,True
Peach,Fruit,9.3,83.3,0.5,1.3,21.2,81,Overripe,Small,172.1,True
Plum,Fruit,7.7,43.0,1.8,4.9,5.8,59,Unripe,Medium,315.9,True
Orange,Fruit,14.6,78.3,1.4,4.1,17.3,79,Overripe,Small,310.4,True
Gooseberry,Fruit,16.5,90.4,2.0,3.1,11.0,99,Unripe,Small,133.6,True
Ginger,Vegetable,3.0,63.2,3.2,3.3,14.1,24,Ripe,Small,360.5,False
Pear,Fruit,16.7,64.9,2.6,2.8,12.5,53,Overripe,Medium,207.8,True
Litchi,Fruit,3.2,54.7,2.2,3.4,18.3,91,Overripe,Medium,361.5,True
Pear,Fruit,3.8,40.9,2.4,3.0,7.2,82,Overripe,Small,440.5,True
Cabbage,Vegetable,0.2,35.1,2.6,3.7,10.5,44,Overripe,Medium,619.0,False
Chayote,Vegetable,2.6,44.4,3.0,2.9,6.4,30,Overripe,Small,625.1,False
Beetroot,Vegetable,1.9,35.6,4.6,1.6,12.5,48,Overripe,Large,316.4,False
Colocasia,Vegetable,2.7,23.9,1.4,7.0,13.5,40,Overripe,Large,593.2,False
Grapes,Fruit,8.5,94.1,1.6,2.0,20.2,60,Ripe,Small,252.6,True
Sweet Corn,Vegetable,3.1,24.3,4.5,5.1,6.7,55,Overripe,Medium,787.1,False
Papaya,Fruit,14.2,89.5,2.3,2.4,22.1,56,Ripe,Large,214.2,True
Potato,Vegetable,2.7,66.9,2.4,2.7,5.0,58,Overripe,Large,1099.6,False
Coriander Leaves,Vegetable,3.9,31.7,3.6,3.7,12.6,54,Unripe,Small,1211.7,False
Strawberry,Fruit,9.3,44.8,2.8,3.9,6.6,51,Overripe,Small,377.3,True
Tomato,Vegetable,0.2,52.4,2.4,1.2,13.8,43,Overripe,Medium,1154.5,False
Drumstick,Vegetable,4.9,59.1,2.7,7.4,7.4,36,Overripe,Medium,1170.3,False
Pear,Fruit,9.2,62.1,1.3,4.0,12.6,51,Unripe,Small,419.6,True
Onion,Vegetable,2.4,32.5,4.3,7.3,12.1,27,Unripe,Small,659.9,False
Bottle Gourd,Vegetable,3.3,29.7,2.2,1.7,6.4,39,Ripe,Large,731.5,False
Carrot,Vegetable,3.7,36.0,1.1,5.6,6.6,32,Overripe,Small,595.0,False
Pear,Fruit,12.6,35.3,1.0,0.8,19.7,63,Overripe,Small,245.6,True
Ginger,Vegetable,1.2,67.2,4.7,4.8,11.8,60,Overripe,Small,1091.5,False
Mushrooms,Vegetable,4.6,29.5,4.8,6.3,11.3,40,Overripe,Small,913.6,False
Apple,Fruit,12.9,49.3,2.4,1.0,10.4,81,Ripe,Small,445.9,True
French Beans,Vegetable,1.5,62.7,3.1,6.9,8.6,21,Unripe,Small,1153.1,False
Radish,Vegetable,4.3,49.1,3.1,7.8,7.1,51,Overripe,Medium,339.1,False
Pomegranate,Fruit,16.5,90.2,1.1,3.2,10.2,56,Unripe,Large,282.8,True
Strawberry,Fruit,16.0,96.1,1.2,2.7,10.4,65,Unripe,Medium,401.7,True
Coriander Leaves,Vegetable,0.6,31.7,3.1,3.8,4.9,44,Ripe,Small,688.5,False
Garlic,Vegetable,2.6,24.0,3.3,6.7,3.3,26,Ripe,Large,927.8,False
Sapodilla,Fruit,5.6,42.9,2.4,2.4,18.7,58,Overripe,Small,394.4,True
Drumstick,Vegetable,3.7,26.4,1.3,4.6,10.6,23,Unripe,Medium,993.4,False
Brinjal,Vegetable,0.8,60.5,2.9,2.8,3.7,37,Unripe,Large,1017.7,False
Sapodilla,Fruit,17.1,56.5,1.8,0.9,21.2,43,Unripe,Large,260.2,True
Fig,Fruit,10.9,36.5,1.7,0.9,6.0,97,Unripe,Large,253.4,True
Tomato,Vegetable,3.7,52.2,2.9,7.8,7.3,36,Overripe,Small,1457.9,False
Turnip,Vegetable,4.1,37.0,3.2,5.5,3.9,33,Unripe,Small,451.6,False
Orange,Fruit,7.2,93.7,2.3,1.5,6.5,92,Ripe,Large,50.5,True
Potato,Vegetable,2.8,44.4,2.7,3.4,10.1,36,Overripe,Medium,766.9,False
Mango,Fruit,10.3,49.2,2.4,4.9,10.2,86,Overripe,Medium,387.3,True
Banana,Fruit,2.0,44.3,1.2,2.5,7.3,53,Ripe,Large,491.0,True
Tomato,Vegetable,4.8,34.7,1.9,6.0,3.4,40,Unripe,Large,1218.2,False
Turnip,Vegetable,4.2,62.5,1.4,5.8,8.5,45,Overripe,Medium,511.6,False
Watermelon,Fruit,16.9,57.6,2.8,2.9,20.6,53,Unripe,Large,94.5,True
Papaya,Fruit,8.3,83.1,0.8,4.1,13.8,96,Unripe,Large,100.9,True
Jackfruit,Fruit,17.3,75.6,1.8,0.8,23.9,80,Unripe,Large,420.1,True
Kohlrabi,Vegetable,3.1,45.6,3.9,4.7,14.2,44,Overripe,Medium,1402.1,False
